176,Developer,Price,Platform,Live,Designer,Visualizer,ArtNet,E1.31 sACN,DMX,KiNet,DDP,GPIO,Serial,Video,Audio,Programmatic,Language,Other Inputs,Other Outputs,Integrations,Notes,Demo/Free,Status,URL
Allpixmatrix,NLED,Free,Windows,No ,Yes,,Input,,,,,,,Input,,,,,"glediator files, pixel data",,,,,https://github.com/NLED/allpixmatrix
ArKaos,ArKaos S.A.,$299,Windows,Yes,Yes,,,,,,,,,,,,,,Klingnet,,,,Active,https://www.arkaos.com/
Arthet LED Mapper,"cyberboy666
",Free,"ubuntu, windows, mac and arm64",no,yes,,Output,,,,,,,,,,,,,,"input video from connected devices (webcams, capture cards etc) or over NDI,  output artnet across multiple universes",,,
Bekonix,Bekonix ex Rocketlife,Free- $99,"Windows, macOS",Yes,Yes,2D,,,,,,Both,,,Input,Input,,,NRF52840 target board Adafruit or Ebyte board,,Rocketlife reborn.,Demo,Active,https://www.bekonix.com/platform/
BenTo,Benjamin Kuperberg,Free,"Windows, macOS, Linux, Raspberry Pi",Yes,Yes,Yes,Both,Both,,,,,Both,,Output,Both,Javascript,"OSC, OSCQuery","OSC, OSCQuery",,,,,http://github.com/benkuper/BenTo
Blux,Benjamin Kuperberg,Free,"Windows, macOS, Linux, Raspberry Pi",Yes,Yes,Yes,Both,Both,Both,,,,Both,,Output,Both,Javascript,"OSC, OSCQuery, MIDI","OSC, OSCQuery, MIDI",,,,,http://benjamin.kuperberg.fr/blux
Chataigne,Benjamin Kuperberg,Free,"Windows, macOS, Linux, Raspberry Pi",Yes,,,Both,Both,Both,,,,Both,,Both,Both,Javascript,"OSC, OSCQuery, Midi, Serial, TCP, UDP, HTTP, MQTT, GPIO, AbletonLive, Stream Deck...","OSC, OSCQuery, Midi, Serial, TCP, UDP, HTTP, MQTT, GPIO, AbletonLive, Stream Deck...",,"Software `conductor` for live and timecode, interface with a lot of protocols",Free,Active,http://benjamin.kuperberg.fr/chataigne/en
Chataigne Wled Mod,Zak-45,Free,"Windows, macOS, Linux, Raspberry Pi",Yes,,,,,,,,,,,,,,,,,"Plug on for vcontrol of WLED, other WLED plugins from same developer on Githhub",Free,Active,https://github.com/zak-45
Chromatik,Mark C Slee,Free - 399,Windows MacOS,Yes ,Yes,3D,Output,Output,Possible,Output,Output,,,,Input,Possible,,"MIDI , OSC, DMX",,,"VJ like live control, extensive support for 3D animation matrices Succesor to LX Studio","<1000 LEDs free, various paid options",,
Dylos,Obsidian,Free 1 universe,Windows,Yes,Yes,Yes Basic 2D,Both,Both,Both,,,,,Input,Input,,,"MIDI, OSC",,Obsidian Onyx,Free for 2 DMX universes and 4 Dylos RGB Pixel zones via Artnet https://support.obsidiancontrol.com/Content/Onyx/Onyx_PC_Modes.htm,Limited Demo,Active,https://obsidiancontrol.com/dylos
ELM,ENTTEC,$94,Windows,Yes,Yes,3D,Both,Both,Both,Output,,,,Input,Input,,,"OSC, Spout, NDI","NDI, DVI",Triggering via HTTP/OSC/Art-net/sACN/DMX,Triggering via RS232/GPIO/UDP available thru S-Play controller,Nag for free one,,https://www.enttec.co.uk/product/controls-gb/addressable-led-pixel-control-gb/pixel-mapping-software/
Faith Chapel ,Faith Chapel,Free,Windows,Yes,,,Both,,,,,,,,,,,"NDI, SDI, Midi",,LED Media server from console,Developed for Houses of Worship originally,,,https://resources.faithchapel.cc/blogs/pixel_mapping_software?fbclid=IwAR0I3imz0gy7R6-_x8hWD8CO6qJEM2o2P_KXTdmkpRUYbOaWYssicnD2IIE
FalconPlayer,,FOSS,"Raspberry Pi, Beagle Bone, macOS, Linux",Yes,No,,Both,Both,Both,Output,,Both,Output,Output,Output,Both,,"Pixelnet,Renard","Pixelnet, Renard, UDP, HTTP, MQTT","OSC, MIDI, Home Assistant, RemoteFalcon, plugins",FPP + RasPi/BBB = playback box,,,https://github.com/FalconChristmas/fpp
GeoPix 2.0(full),Enviral Design,Free,Windows (TouchDesigner),Yes,Yes,3D,Both,Both,Output,,,,,Input,Both,,,"MIDI, OSC, MQTT",MIDI,,,Open Source,,https://www.geopix.io/
GeoPix0.9,Enviral Design,Free,Windows (TouchDesigner),Yes,Yes,3D,,,,,,,,,,,,,,,"beta release, not supported",Limited,,https://www.enviral-design.com/
Jinx!,,Free,Windows,Yes,Yes,,Both,Both,Both,,,,,Input,Input,,,tpm2,"mini, tpm2, Glediator, DVI",,Development ceased,,No Development,http://www.live-leds.de
Jinx!,Solderlab.de,Free,"Windows, Linux",No,Yes,,,,,,,Input,Output,,,,,,,Should be solderlab.de (which is down),Basically a mapper/pattern generator for microcontrollers with pixels. Development ceased,,No Development,https://oneguyoneblog.com/download/glediator-v2-0-3/
,Christopher Schardt,Free,iOS,Yes,Yes,,Both,Output,Input,,,,,,,,,"audio (input / playback), video, MIDI, /, OSC","DDP/Minleon/TekLights, OpenPixel","PixelPusher, RGB-123, FadeCandy/FCServer",,In App purchases,,https://apps.apple.com/us/app/l-e-d-lab/id832042156
LED Strip Studio Software,LED Strip Studio,LED Strip Studio Software,Windows,Yes,Yes,2D,Both,Input,Both,,,,,,,,,"MIDI, OSC, CMD Line, DMX",Proprietary compressed LSS protocol for LSS controllers,,"Use any video as animation, Picture grabber, BlackMagic grabber, ",Free demo - No output,Active,https://www.ledstripstudio.com/addressable-led-pixel-mapping-software/
LEDEdit,,Free,Desktop,,,,,,,,,,,,,,,,T/K 1000 Player,K1000 LED player editing program,,,,https://learnitstepbystep.blogspot.com/2018/07/download-led-edit-2014-2016-2017-2018.html
LedFx,"Yeon V, M Bowley, community",FOSS,"Windows, Linux, macOS",Yes,No,,,Output,,,Output,,,,,,Python,Audio,UDP,,Python based. A programming environment to sync musical effects across a network of LED pixel controllers,Open Source,Active,https://github.com/LedFx/LedFx 
LEDs Master,Antoine Doussaud,FOSS,"Windows, macOS, Linux, Android, & IOS",Yes,,,Output,,,,,,,,,,,,,,"You can load shaders, musics, microphone, videos and custom scripts to create live animation.",,,https://antoine.doussaud.org/leds_master
LightDesigner,RocketLife,Free,"Windows, macOS",,Yes,,,,,,,,,,,,,GPIO pins,Bluetooth/NFC to RocketLife hardware,LightBox&LightBoard Mini,"RocketLife controllers, serial/SPI pixels only",,Dead SEE Bekonix,https://www.rocketlife.com/technology/
Lightjams,Lightjams Inc,125 - 450,Windows,Yes,Yes,,Both,Both,Both,,,,,Both,Both,Both,,"MIDI,OSC,Spout,Syphon, Ambilight",,,ELM developed by same developer,Demo available,Active,https://www.lightjams.com/
LightMobile,RocketLife,Free,"iOS, Android",Yes,No,,,,,,,,,,,,,GPIO pins,Bluetooth/NFC to RocketLife hardware,LightBox&LightBoard Mini,"RocketLife controllers, serial/SPI pixels only",,Dead SEE Bekonix,https://www.rocketlife.com/technology/
Lumiastream,Lumiastream,Free- $30/month,Windows macOS,No,No,,Output,,,,,,,,Output,,,viewer controlled stream responsive control,"Tuya, Govee,Hue, Nano, etc home automation and ArtNet",Home Assistant,"Viewer control of IoT objects for streaming, aome integrated automation",Free  / premiumn Monthly,Active,https://lumiastream.com/
LX Studio / Chromatik,Mark Slee,Free,"Windows, macOS, Linux",Yes,Yes,3D,Both,Both,Both,Both,,Both,Both,Both,Input,Both,Java,Any,"DDP, OPC, Fadecandy",,Java. Next version (Chromatik) will no longer use the Processing graphics library.,Open source. Comercial applications require license,Active,https://lx.studio/
MadMapper,Smode Tech,$420,"Windows, macOS",,Yes,,Both,Both,Both,,,,,Input,,,,"MIDI,OSC,Spout,Syphon,NDI","MIDI, OSC, EtherDream, Arduino",,,,Alive,https://madmapper.com/madmapper/ 
MADRIX 5,Inoage,330+,Windows,Yes,Yes,,Both,Both,Both,Output,,,,Both,Both,,,"MIDI, HTTP, MA-net, CITP, SMPTE, Spout, GamePort","DVI, Robe, Insta, Hue",,GPIO available with Madrix Orion external box,Demo no data out,Alive,https://www.madrix.com/products/software
MagicQ,Chamsys Systems,Free 64 universes,"Windows, macOS, Linux",Yes,Yes,3D,Both,,,,,,,,,,,,,,"MagicQ Professional stage lighting console with Pixel Mapping ability, software version of hardware console",Demo 64 Universes via ArtNet,Alive,https://chamsyslighting.com/
Mapio Pro,Vistitution,$234,"Windows , macOS",Yes,Yes,,Output,No,No,No,,,Output,Both,Output,,,Native support for PixelPusher devices,,,Mapio Pro has support for addressable LEDs,Watermarked demo,Alive,https://visution.com/
Millumin,Anomes SARL,39/week +,macOS,Yes,,,Both,Both,Output,,,,,Possible,,,,,,,,30 day trial,Active,https://www.millumin.com//
Pixelblaze,ElectroMage,$39,Pixelblaze (in-browser),Yes,Yes,3D,,,,,,Both,,,Input,Both,JS subset,"Websockets, ADC",Direct or expansion board 8-64 channels,"Home Assistant, Hubitat, Pixelblaze","Includes 2D/3D mapping, sound reactive, and scriptable pattern UI controls",w/PixelBlaze purchase,Active,https://electromage.com/pixelblaze/
ProtoPixel Create,ProtoPixel,$176,macOS,Yes,Yes,2D,Both,,,,,,,Input,Both,Input,,"OSC, NDI, Syphon, UDP","ProtoPixel proprietary protocol, OSC, UDP",Python (scriptable),,Trial + watermark,,https://www.protopixel.io/design
QLC+,Massimo Calegari,FOSS,"Windows, macOS, Linux, Raspberry Pi",Yes,Yes,3D view available in V5,Both,Both,Both,,,Output,Output,,Input,Both,C++,"OSC, MIDI, Web API","USB, OSC",Supported MIDI/DMX Hardware List: https://www.qlcplus.org/discover/compatibility,Includes sound responsive features. Large fixture compatablity list. ,€15 Donation requested,Active,https://www.qlcplus.org/
Resolume,,$350,"Windows, macOS",Yes,Yes,,Both,,Both,,,,,Input,Input,,,"MIDI,OSC,Spout,Syphon",MIDI,,heavily integrated with VJ features,,Active,https://resolume.com/software
Smode,,Expensive,Windows,Yes,Yes,,Both,Both,Input,,,,Both,Both,Both,Both,,"MIDI, OSC, UDP, SMPTE, Spout, Game Port","OSC, MIDI, UDP, Spout, NDI",,This application is more of a game engine crossed with a volumetric mapping solution. 3D mapping,Free for SD card output,Active,https://smode.fr/
TouchDesigner,Derivative,Free/$600,"Windows, MacOS",Yes,Yes,"Yes, DIY",Both,Both,Both,Both,,Both,Both,Both,Both,Both,"Python, GLSL","MIDI, OSC, MQTT, NDI, Syphon/Spout, TCP, UDP, Ableton, SMPTE/LTC","MIDI, OSC, MQTT, NDI, Syphon/Spout, TCP, UDP, Ableton",Tons,"Visual programming environment with lots of useful built-ins. Not specifically for LED patterns, but they're easy to make with a little extra.",Free for non-commercial,Active,https://derivative.ca/
Vixen Lights,,Free,Free,No,Yes,,Output,Output,Output,,,,,,,,,,Renard,,"like xlights, initially developed for holiday light sequences",,,https://www.vixenlights.com/downloads/
WLED,"Aircoookie, community",FOSS,ESP8266/ESP32,Yes,No,Limited 1D,Input,Input,Output,,Input,Possible,Input,,,,C++,UDP Sync,"ws281x protocol, APA102, etc.","Home Assistant, WLED App.","Great standalone pixel controller software for ESP8266 and ESP32 based boards. See also: WLED-SR, sound reactive fork",Open source,Active,GitHub - Aircoookie/WLED: Control WS2812B and many more types of digital RGB LEDs with an ESP8266 or ESP32 over WiFi!
xLights,,Free,"Windows, macOS, Linux",No,Yes,,Output,Output,Output,,,,,,Both,,,"Audacity plug-in,MIDI,video files","LOR, DDP",,"originally Nutcracker, developed for holiday light shows  as a sequencer, spread beyond , continually developed.",,Active,https://www.xlights.org
"FastLED ""FX"" engine",Zach Vorhies,Free,ESP/AVR/NRF/RP/Browser,No,Yes,Browser wasm Preview,,,,,,,,,,,,,,,,,,