,Colour Group,LED Voltage,Clocked,VCC Voltage,PWM Frequency,Brightness Bits,Data BitRate,Pixel Data Size,Pixel Rate Max,GPIO Min,GPIO Max,Wattage,Channel Current,Quiescent Current,Package Size,Pin Count,Data Type,Backup Data Line,Max pixel per string,Release Year,NOTES,3rd Party Testing,Original Manufacturer,Datasheet URL,Other Links
APA104,RGB,5V,No,5V,1.2kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,3.5V,5V,100.mW,20.0mA,1.0mA,"5050, 3535, 1212",4,WS2811/12,No,,2013,WS2812b clone like SK6812,,APA Electronics,http://neon-world.com/en/product_detail.php?cid=60&id=171,APA104 Pixel Protocol Overview | Advatek Lighting
APA105,GRB,5V,No,5V,1.2kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,3.4V,6V,100.mW,20.0mA,1.0mA,"5050, 3535, 2020",4,WS2811/12,No,,2015,ws2812b/sk6812 with built-in capacitors,,Newstar LED Co.,http://www.newstar-ledstrip.com/productshow819.html,
CS8812,,12V,No,12V,8.0kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,,,210.mW,17.5mA,,5050,,WS2811/12,Yes,,,"Built-in 8->12bit gamma correction. ""B"" version is ""without original program"".  Similar to GS8208",,Witop,https://www.superlightingled.com/PDF/CS8812-LED-Chip-Datasheet.pdf,CS8812 Pixel Protocol Overview | Advatek Lighting
GS8208,RGB,12V,No,12V,8.0kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,3.5V,5V,120.mW,10.0mA,2.5mA,5050,6,WS2811/12,Yes,,2018,Built-in 8->12bit gamma correction! Similar to WS2815; early version booted with onboard patterns - now eliminated,,Genesis Systec,http://www.normandled.com/upload/201805/GS8208%20LED%20Datasheet.pdf,GS8208 Pixel Protocol Overview | Advatek Lighting
LC8808B,BGR,12V,No,5V,8.0kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,4.0V,13V,65.mW,13.0mA,2.5mA,5050,6,,Yes,,,"Very similar to the GS8208, the spec sheets are almost identical",,Color,http://addressable-led.com/UploadFile/upi/file/20190318/LC8808-LED.pdf,
NS8808,RGB,12V,No,5V,8.0kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,3.5V,5V,45.mW,9.0mA,2.0mA,5050,6,UCS1903,Yes,,2018,"silimar to ws2815, but UCS1903 protocol",,Newstar LED Co.,http://newstar-ledstrip.com/productshow855.html,
PL9823,RGB,6V,No,5V,800Hz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,3.5V,5V,.mW,,,5/8mm T style,4,WS2811/12,No,,2014,5mm & 8mm epoxy leaded copy of WS2811/12,https://cpldcpu.wordpress.com/2014/06/16/timing-of-ws2812-clones-pd9823/,/,https://cdn.instructables.com/ORIG/FW0/YN1X/IHDUL683/FW0YN1XIHDUL683.pdf,
SK6812,"CW,WW,Amber",5V,No,5V,1.1kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,3.4V,5V,100.mW,20.0mA,1.0mA,5050,4,WS2811/12,No,,2019,"replaces RGB LEDs with CW, WW, Amber for variable CCT",,Opsco/Newstar,http://newstar-ledstrip.com/productshow751.html,
SK6812,GRB & GRBW,5V,No,5V,1.1kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,3.4V,5V,104.mW,20.0mA,1.0mA,"5050,3535,2040",4,WS2811/12,No,,2013,WS2812 copy also available in 4 channel RGBW variant,,Opsco/Newstar,https://www.pololu.com/file/0J1233/sk6812_datasheet.pdf,SK6812 Pixel Protocol Overview | Advatek Lighting
SK6813 ,,5V,No,,1.2kHz,8,800kHz,24 Bits/Pixel,,,,.mW,,,5050,,,No,,,,,,,SK6813 Pixel Protocol Overview | Advatek Lighting
SK6813 HV,,12V,No,,1.2kHz,8,800kHz,24 Bits/Pixel,,,,.mW,,,5050,,,No,,,,,,,SK6813 Pixel Protocol Overview | Advatek Lighting
WS2812,,5V,No,5V,2.0kHz,8,800kHz,24 Bits/Pixel, ,3.0V,5V,92.5mW,18.5mA,0.7mA,5050/3535/2040/2020,4,WS2811/12,No,,2012,Individually addressable RGB pixel; cheap and everywhere,,WorldSemi,https://cdn-shop.adafruit.com/datasheets/WS2812.pdf,WS2812 Pixel Protocol Overview | Advatek Lighting
WS2813,RGB,5V,No,5V,2.0kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,3.0V,5V,90.mW,18.0mA,0.7mA,5050,6,WS2811/12,Yes,,2016,WS2812b update with Back Up Data Line,,WorldSemi/Newstar ,http://newstar-ledstrip.com/product/20171208112004735.pdf,WS2813 Pixel Protocol Overview | Advatek Lighting
WS2815,RGB,12V,No,12V,2.0kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,3.5V,5V,120.mW,10.0mA,2.1mA,5050,6,WS2811/12,Yes,,2018,12V WS2813,,WorldSemi/Newstar,http://newstar-ledstrip.com/product/20180125101420006.pdf,WS2815 Pixel Protocol Overview | Advatek Lighting
WS2851,RGB,12V,No,5V,2.0kHz,8,800kHz,24 Bits/Pixel,33.3 k Pixel / s,3.0V,5V,92.5mW,18.5mA,2.1mA,5050,8,WS2811/12,No,,2018,12V WS2812 with RGB + external LEDs,,WorldSemi,http://www.world-semi.com/Certifications/details-121-4.html,
APA102,BGR,5V,Yes,5V,19.2kHz,8+5,30MHz,32 Bits/Pixel,0.94 M Pixel / s,3.5V,5V,110.mW,22.0mA,1.0mA,5050 & 2020,6,APA102,No,~250 - CLK sensitive,2014,"Fast refresh, fast PWM, except extra 5 bits PWM at 400Hz",http://neon-world.com/en/product_detail.php?cid=59&id=167,APA Electronics,https://cdn-shop.adafruit.com/datasheets/APA102.pdf,APA102 Pixel Protocol Overview | Advatek Lighting
APA102C,BGR,5V,Yes,5V,19.2kHz,8+5,30MHz,32 Bits/Pixel,0.94 M Pixel / s,3.5V,5V,110.mW,22.0mA,1.0mA,5050 & 2020,6,APA102,No,~250 - CLK sensitive,,"Very similar to its previous version, APA102, APA102C provides a larger metallic area for better heat dissipation.",,APA Electronics,https://cdn-shop.adafruit.com/datasheets/APA102.pdf,APA102C Pixel Protocol Overview | Advatek Lighting
APA107,BGR,5V,Yes,5V,9.0kHz,8+5,30MHz,32 Bits/Pixel,0.94 M Pixel / s,3.5V,5V,110.mW,22.0mA,1.0mA,5050,6,APA102,No,,2017,"Economic type of APA102, cheaper with lower PWM; produced by Newstar",,Newstar LED Co.,http://newstar-ledstrip.com/productshow816.html,
APA109,GRBW,5V,No,5V,1.1kHz,8,800kHz,32 Bits/Pixel,25.0 k Pixel / s,3.5V,5V,.mW,,,5050,4,4chWS2811/12,No,,2018,WS2812b clone like SK6812 RGBW variant,,APA Electronics,http://neon-world.com/en/product_detail.php?cid=59&id=167,APA109 Pixel Protocol Overview | Advatek Lighting
HD107S,RGB,5V,Yes,5V,27.0kHz,5,40MHz,32 Bits/Pixel,1.25 M Pixel / s,3.4V,5V,#VALUE!,17.0mA,0.1mA,"5050, 2020",6,APA102,No,,2019,APA107 Competitor/clone,,,https://www.rose-lighting.com/wp-content/uploads/sites/53/2019/10/0000155-1.pdf,HD107S Pixel Protocol Overview | Advatek Lighting
NS107S,BGR,5V,Yes,5V,27.0kHz,8+5,30MHz,32 Bits/Pixel,0.94 M Pixel / s,3.5V,5V,100.mW,20.0mA,0.1mA,"5050, 3535, 2020",6,APA102,No,,2017,"upgrade of APA107, same protocol with APA102, higher PWM 27khz, more stable ",,Newstar LED Co.,http://www.newstar-ledstrip.com/product/20190710114547839.pdf,
SK9822,BGR,5V,Yes,5V,4.6kHz,8+5,30MHz,32 Bits/Pixel,0.94 M Pixel / s,,5V,100.mW,20.0mA,1.0mA,5050,6,APA102,No,,2016,"APA102 Clone. Extra 5 bits uses constant current driver, no change in PWM.",https://cpldcpu.wordpress.com/2016/12/13/sk9822-a-clone-of-the-apa102/,Opsco/Newstar,https://www.pololu.com/file/0J1234/sk9822_datasheet.pdf,SK9822 Pixel Protocol Overview | Advatek Lighting
WS2816,GRB,5V,No,5V,10.0kHz, ,800kHz,48 Bits/Pixel,16.7 k Pixel / s,,,100.mW,20.0mA,6.0mA,7,6,,Yes,,2021,,,,,
HD108,RGB,5V,Yes,5V,27.0kHz,15,40MHz,64 Bits/Pixel,625.0 k Pixel / s,3.4V,5V,#VALUE!,17.0mA,0.1mA,"5050, 2020",6,APA102,No,,,HD107s with 64bit color,,,https://www.rose-lighting.com/wp-content/uploads/sites/53/2021/03/HD108-5050-LED-Specificaion-V1.1.0-Rose-Lighting.pdf,View technical specs and advantages of the pixel protocol HD108. - Advatek
NS108,BGR,5V,Yes,5V,27.0kHz,16+5,30MHz,64 Bits/Pixel,468.8 k Pixel / s,3.0V,6V,102.mW,20.0mA,1.0mA,"5050, 3535, 2020",6,APA102,No,,2018,16bit/color version of NS107S,,Newstar LED Co.,http://newstar-ledstrip.com/productshow848.html,
NS108E,RGB,5V,Yes,5V,4.0kHz,16+5,30MHz,64 Bits/Pixel,468.8 k Pixel / s,3.0V,6V,91.8mW,18.0mA,3.6mA,"5050, 3535, 2020",6,SK9826,No,,2019,"16bit/color version of APA102 copy SK9822, aka SK9826",,Newstar LED Co.,http://newstar-ledstrip.com/product/20191018160652775.pdf,
SK9826,RGB,5V,Yes,5V,4.0kHz,16+5,30MHz,64 Bits/Pixel,468.8 k Pixel / s,,,90.mW,18.0mA,3.6mA,"5050, 3535",6,SK9826,No,,2016,16bit/color version of APA102 copy SK9822,,Newstar LED Co.,http://newstar-ledstrip.com/product/20190927165451294.pdf,
APA106,RGB,5V,,,,,,,,,,.mW,,,,,,,,,5V WS2811 clone in 5 and 8mm package,,,https://datasheet4u.com/datasheet-pdf/ETC/APA-106/pdf.php?id=1139107,
LC2823-2020,,3-7.5V,Yes,5V,27kHz,8+5,,,,,,#VALUE!,18.0mA,?,2020,6,APA102,no,,,,,,,
LC8823,,3-7.5V,Yes,5V,27kHz,8+5,,,,,,#VALUE!,17.0mA,?,5050,6,APA102,no,,,,,,,
SK6818,RGBW,5V,No,5V,1.2kHz,8,800kHz,,,,,.mW,,,5050,4,,No,,,,,,https://asset.conrad.com/media10/add/160267/c1/-/en/001575814DS01/datasheet-1575814-thomsen-strip-5m-300-rgbw-ip68-led-pasik-entrieda-a-a-e-zastrcky-zasuvka-5-v-5-m-rgbw.pdf,SK6818 Pixel Protocol Overview | Advatek Lighting
SK6822,RGB,5V,No,5V,1.2kHz,8,800kHz,,,,,.mW,,,5050,6,,Yes,,,,,,,SK6822 Pixel Protocol Overview | Advatek Lighting
SK9822-A,,5V,Yes,5V,27.0kHz,,30MHz,,,,,.mW,,1.0mA,5050,6,APA102,No,,,Higher PWM version of SK9822,,Newstar LED Co.,,
SM1616,,,,,,,,,,,,.mW,,,,,,,,,,,,,
WS2815 RGBW,RGBW,12V,No,,,,,,,,,.mW,,,,,,,,,,,World Semi,https://www.lcsc.com/datasheet/lcsc_datasheet_2406271507_Worldsemi-WS2815B-RGBW_C19188610.pdf,
,,, ,,,,,,,,,,,,,,,,,,,,,,